Q105,Q99,Q130,Q131,Q132,Q134,Q123,Q124,Q125,Q127,Q61,Q62,Q63,Q79,Q80,Q81a,Q57,Q58,Q59,Q37,Q36,Q31,Q32,Q141,Q142,Q143,Q136,Q137,Q138,Q54,Q55,Q44,Q45,Q92,Q81b,Q93,Q109,Q103,Q117,Q111,Q155,Q30,Q144,Q139,Q97,Q84,Q96a
,,,,,,currfloor,destfloor,deltafloors,bool doorstate,,,,,,,,,,,,,,,,,,,,,,full_time,initialhourlypay,,,,,,,"icecakefactory(biscuit,icecream,rappaper)",,,,,,,
,size,curfloor,nextfloor,direction,door_status,,,,,,,,,,,Cheese_loc_today,visited_rooms,maze,,,,,,,,,,,,,,,,,,,check_availble_spave(size),"calculate_ingridients(biscuits, ice_cream, wrapping)",,,,,,,,
,,UPfloors,currentFLoor,DownFloors,isOPen,,,,,,,,cheeseToday,alreadyVisited,maze,,,,,,,,maxBenefits,isEntitledForBenfit,currentMonthEntitlness,,,,,,,,,,,,,,,,,"isEntitledThisMonth(currentMonthEntitlness,currentMonthUsed)",,,,
,,,,,,,,,,,,,,,,,,,,,timer,mine_field,,,,,,,reg_rate,holiday_rate,,,,board,,,,"sandwich_potential(biscuits, ice_cream_cups, wrap_h, wrap_w",,,get_game_dificulty_level(),,,,print_board(board),
,,newFloor,currentFloor,floorsChange,doorState,,,,,,,,,,,cheesePlace,visitedPlaces,Maze,currentTime,GridScore,,,,,,MAX_BENEFITS_PER_MONTH,MONTHLY_BILL_TO_EARN_BENEFIT,benefits,,,,,,board,,,,,,"int gameDifficulty(int gridSize, int minesNumber)",,,"bool canUseBenefit(entitledBenefits, usedBenefits)",,void displayBoard(Board board),
,,,,,,floorToReach,currentFloor,floorsToMove,isDoorOpen (a boolean variable),,,,,,,,,,,,timeOfGameSoFar,board,,,,,,,FULL_TIME_POSITION_HOURS,payForOvertime,,,,,,,,"maxNumOfSandwiches(numOfBiscuits, cupsOfVanilla, wrappingPaper)",,,"levelRate(sizeOfBoard, numOfBoms)",,,,,
,,,,,,,,,,,,,,,,,,,,,game_timer,mine_status,,,,,,,FULL_TIME_CAP,OVERTIME_WAGE,,,,,grid,,,,"def how_many_kasata(int biscuits, ice_cream, wrapper)",,"difficulty(height, width, mines_count)",,,,,draw_grid(grid)
,Size,,,,,,,,,,,,,,,,,,,,,,,,,לא יודע,לא יודע,לא,Weekly houres,Hourly wage,,,,,,,Increase,,,,,,לא יודע,,,
size,,,,,,,,,,,,,,,,,,,,,,,,,,MAX_BENEFITS_PER_MONTH,MIN_BENEFIT_SUM,currentMonthBenefitsEntitled,capHoursCount,overtimeHourWage,,,,,,"expandFile(file, availableSpace)",,,,,,,"canUseBenefit(currentMonthBenefitsEntitled, currentMonthBenefitsUsed)",,,
,fileSize,,,,,,,,,cheeseLocation,visitedLocation,maze,,,,,,,gameTime,GridStructure,,,,,,Max number of benefits,ratio of money to benefit,available benefit,,,,,,,,,"public boolean isEnouthSpace(File file,int inc,int space)",,,"public int chooseDifficulty(int gridSize,int numberOfMines)",,,"public boolean useBenefit(int request , int used)",,,
file_size,,,,,,,,,,,,,cur_location,prev_location,labyrinty,,,,,,,,pinuk_counter,last_month_credit,avilable_pinulks,,,,,,,,,,,"is_avilable(file_name,new_size,disk_avilable_place)",,,"kasta(biscuit,ice_cup,wrapping_paper)",,,"check_pinuk(get,used)",,,,
,,,,,,requestedFloor,currentFloor,diffFloors,doorState,,,,cheeseCoords,visited,labyrinth,,,,,,,,,,,,,,,,fullTimeHours,overTimeRate,,,,,,"ingrediantsToCookies(int bis, int haldIceCreamCup, int wrapWidth, int wrapHeight)",,,,,,,,
size_in_bytes,,,,,,,,,,,,,,,,current_target_room,visited,maze,,,,,max_treats_per_month,treat_cost,gained_treats,,,,,,,,,current_state,,,,"def how_many_sandwitches(b, v, p)",,,,"def is_remaningt_treat (gained, used)",,,plot (current_state),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,list,,,,,,,,,,,display(list a),,
,,,,,,,,,,currentCheeseLocation,visited,maze,,,,,,,,,gameTime,mineNumber,,,,,,,raiseInfimum,raisePayment,,,,,ticTacToeBoard,,,,,,gameDifficulty,,,,,printGame(ticTacToeBoard)
,,,,,,,,,,,,,,,,,,,,,timer,board,,,,,,,,,,,,,,,,,"amountOfKasates(numOfBisquits, amountOfIcecream, heightPlastic, widthPlastic)",,"getDifficulty(width, height, numOfMines)",,,,,
,size,,,,,destinationFloor,currentFloor,floorDiff,isDoorOpened,,,,,,,,,,,,DateTime startedTime // Holds the starting time of the current game,GameCell,,,,MONTHLY_BENEFIT_LIMIT,BENEFIT_THRESHOLD,entitledBenefits,,,,,CorssBoard,,,,"private boolean canAdd(File file, int dataAmount, int freeDiskSpace)",,,,"Level calculateLevel(int boardSize, int minesNumber)",,"boolean hasBenefits(entitledBenefits, usedBenefits)",public void printToConsole(),,
,size,destinationFloor,currentFloor,numberOfFloorsToMove,doorCurrentStatus,,,,,,,,room curCheeseRoom,bool visited,room[] Rooms,,,,,,,,,,,,,,,,FULL_JOB_HOURS,ADDITINAL_HOUR_RATE,board,,,,"attemptToIncrease(file, newSize, availableSpace)",,,,,,,displayBoard(player),,
size,,,,,,up_buttons,down_buttons,floors_num,Door_state,,,,,,,,,,,,,,,,,,,,,,45_extra,extra_salary,,,,check_enough_memory,,"int can_produce(int biscuits, int ice_cresm, int paper)",,,,,,,,
,,,,,,Floor_to,Floor_from,Floors_diff,Is_door_open,cheese_loc,visited_locs,Maze,,,,,,,,,,,,,,Max_benifits_amount,ILS_FOR_BENIFIT,Client_benifits_count,,,,,,,,,,,"Int calculate_kasetas_units(int biscuits, int ice_cream_in_mil, int baking_ppr_w, int baking_ppr_h)",,,,Bool is_eligible_for_benifit,,,
,,,,,,,,,,,,,,,,,,,,,Cur_time,Cell_info,,,,,,,,,,,,,Grid_state,,,"Def calc_sandwiches_num(biscuits, icecream, paper)",,,Get_game_level,,,,,Display_grid(user_id)
,,,,,,,,,,,,,cheeseLoc,visitedLocs,labyrinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"isAvailable(file, toAdd, avail)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,,,,,,,,,,,,,,,,,,,GameTime,,,,Numpinooks,Pinookcap,Availablepinook,,,,,,,,,,,Canwritefile(file),,,,"Difficulty(gridsize, nummines)",,Canusepinook,,,,
,,,,,,,,,,,,,currentCheeseLocation,listOfVistedLocation,cheeseTree,,,,,,,,,,,NUM_OF_POSSIBLE_BENEFITS,SUM_TO_BENEFIT,CURRENT_BENEFITS_NUM,,,,,,,,,,,,,,,"private boolean legableForBenefit (currentNumBenecits, usedBenefits)",,,
,,,,,,,,,,,,,,,,,,,,,gameTimestamp,boardMatrix,treat,treat_th,max_treat,,,,,,,,,,,,,,,,getLevel(int dim),treat_diff,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,MaxNumOfBenefits,ValueOfBenefit,NumofBenefits,,,,,,,,,,,,,,,"Boolean CheckHaveBenefits (int entitledbenefits, int usedBenefits)",,,
,,,,,,,,,,,,,,,,Cht,Chy,Mavoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAYS_PAYMENT_THRESHOLD,extra_wage,,,,,,,,,,,,,,,,
FileSize,,,,,,,,,,,,,,,,,,,,,,,CREDIT_LIMIT,AMOUUNT_TO_CREDIT,credit_balance,,,,,,,,,,,Bool canResize,,,,,,"ABool can_use_credit(int used_credit , int availble_credit",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bord,,,,,,,,,,,see_bord(mat),,
fileSize,,,,,,,,,,,,,,,,,,,,,,,,,,MAX_ACCU_PER_MONTH,BENEFIT_TO_ILS,CUR_MONTH_BENEFIT,,,,,,,,"boolean resizeHelper(String file, double resizeBy, double freeSpace)",,,,,,,"boolean checkBalance(int entitled, int used)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,benefit4,benefit2000,benefitnum,,,,,xoCurr,,,,,,,,,,what,xoPlay,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boardState,,,,,,,,,,,public void displayBoard(self),
,size,,,,,go_to_floor,current_floor,difference_floors,state,,,,,,,,,,time,board_mines,,,,,,BENEFITS,MONEY,client_benefits,,,,,,,,,"bool check_space(FILE* file, int available_space)",,,"int difficulty(int size, int num_of_mines)",,,"bool difference(int BENEFITS, int client_benefits)",,,
,,,,,,,,,,,,,,,,,,,,,,,used,pinuk,use,,,,,,,,,,,,,,"amount(choco,icecream,paper)",,,if pinuk,,,,
,,,,,,Dir1,Dir2,Direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size,,,,,,,,,,,,,cheese_location,visited,labyrinth,,,,,,game_time,cell_data,,,,,,,HOURS_FULL_TIME,OVER_TIME_SALARY,,,,,board,"boolean isRoomForFile(file, newSize, roomInDisk)",,,,,"int gameHardness(int boardWidth, int boardHeight, amount bombs)",,,,,int display (int[][] board)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,MAXIMUM_MONTHLY_MATANOT,MATANA_THRESHOLD,MONTHLY_GIFTS_LEFT,,,,,,,,,,,,,,,,,"use_pinuk(MONTHLY_GIFTS_LEFT,ALREADY_USED_GIFTS)",,,,
fileSize,,,,,,,,,,,,,desirePlase,visitedPlaces,"it would depend on the type of the data arangment, probably labyrinthData",,,,,,,,,,,,,,,,WEAK_FULL_WORK,ADDITION_PER_HOUR,,,,isSpaceEnough,,,,,,,,,,
Size,,,,,,,,,,,,,,,,,,,Game_duration,Adjacent_mines,,,,,,,,,,,,,,,,Check_resizing,,Calculate_profit,,Check_game_difficulty,,,,,,
,,,,,,,,,,cheeseLocation,visited,maze,,,,,,,timeLeft,mineFieldMap,,,MAX_GIFTS,GIFT_THRESHOLD,GiftsAmount,,,,,,FULL_JOB_HOURS,EXTRA_HOURS_RATE,,,,,,,calcCassetsAmount,"findDiffuclty(int mines, int gridSize))",," isGiftsLeft(giftsAmount, usedGifts)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,MAX_MONTH_BENEFITS,MINIMAL_BENEFIT_EXPENSE,benefits,FULLTIME_POSITION,overtimeWage,,,,,,,,"int howManyPossiblesandwiches(biscuits, icecream, wrappingPaper)",,,,,"hasMoreBenefits(benefits, used)",,,
,,,,,,,,,,,,,cheeseLocation,visited,labyrinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memory vacancy test,,,,,,,,,,
,,,,,,,,,,,,,,,,Cheesyplace,Wherethemicewas,Maze,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wanted_floor,Current_floor,Floor_difference,Is_Open,,,,,,,,,,,,,,Time,Mine_teller,,,TOP_BENEFITS,BENEFIT_START,Num_of_benefits,,,,Basic_time,Over_pay,,,,,,,,"Public int quantity( int chocko, int vanilla,int paper)",,"Public int How_difficult (int mines,int size)",,"Public boolean Can_use_benefit(int canget, int used",,,,
