StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5_1,Q5_2,Q17,Q27,Q18_5,Q29,Q33,Q156,Q35,Q40,Q41,Q42,Q52,Q49,Q50,Q51,Q53,Q82,Q83,Q160,Q94a,Q95a,Q159,Q94b,Q95b,Q96b,Q100,Q101,Q102,Q106,Q107,Q108,Q112,Q113,Q114,Q115,Q118,Q119,Q157,Q158,Q122,Q126,Q129,Q135,Q147,Q146,Q145,Q148,Q11,Q153,Q152,Q118 - Topics,Q31_2 - Topics
2018-05-23 00:16:37,2018-05-23 00:39:45,IP Address,,100,1388,True,2018-05-23 00:39:46,R_Opxn5oHvIQmQOR3,,,,,,,anonymous,HE,זכר,45,28,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,"reveals the actual content of a hidden cell in location row(y), col(x). If the cell has a mine, the game is over. Otherwise, it shows the empty cell.",,,,,,,,,,,,,,,,,Mark a given coordinate for the current player,"row number (0..2), the y coordinate","column number (0..2), the x coordinate",,,,,,,returns units x (price-cost),number of things sold,how much each unit cost to produce/procure,How much each unit sold for,,,,,"Determine whether the elevator was requested at a level (var1) that was higher or lower than its current level (var), and then set the direction of movement and the amount of floor to move (var3)",door_open = FALSE go_down(current_pos) door_open = TRUE  for i in 1..max_floors-1 do: door_open = FALSE go_up(1) door_open = TRUE  door_open = FALSE # Final close,,,,,,,"[5,7,9]",,,,
2018-05-23 00:46:16,2018-05-23 02:54:50,IP Address,,100,7713,True,2018-05-23 02:54:51,R_2zvus5MzehLlXdT,,,,,,,anonymous,HE,זכר,32,4,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,calculates the salary/payment,number of working hours,"pay is the interface, if you mean rate then it is the worker fixed wage value",return hours*rate,,,,,,,,,,,,,lexicographic sorting,the files that we want to sort/arrange. type will be array,a sorted array,,,,,,,,,tells the elevator where to go and how much,"CustomizedPriortyQueue requestedFLoors = input(); while(requestedFloors.hasNext()) {   requestFloor = requestedFloors.dequeue()   closeDoor()   getToNextFloor(requestFloor, currentFloor)  openDoor() }",,,boolean,true / false,the action/role each player took,rock / scissor / paper,,,,,
2018-05-23 06:32:33,2018-05-23 06:52:43,IP Address,,100,1210,True,2018-05-23 06:52:44,R_ezgZ6WXCztdXP21,,,,,,,anonymous,HE,זכר,38,19,כן,תואר שני,3,,,,,,,,,calculates the paycheck of an employee based on number of hours and hourly rate.,he hours parameter indicates the number of hours that a given worker worked,the pay parameter is the hourly pay of the worker,"float pay(int hours, float rate) {       return hours * rate; }","makes a turn by marking X or O (depending on the current player) in box (row,col)",the row parameter indicates the row in the board game to mark the next move,the row parameter indicates the column in the board game to mark the next move,,,,,,,,,,מיון רשימת הקבצים לפי שדה השם,הפרמטר הוא רשימת הקבצים. הוא וקטור או רשימה של איברים מסוג המחלקה המתארת קובץ במערכת,לא ברור. אולי שום דבר.,,,,,,,,,,,קטע הקוד הוא הפעולה המתבצעת עם לחיצה על כפתור קומה בתוך המעלית,for (int i = 0; i &lt; BUILDING_FLOORS; ++i) {        go_up(1);        open_door(i);        close_door(i); },enumerated type שמוגדר למטרה זו,"PLAYER_A, PLAYER_B, TIE",הפרמטרים מסמנים מה בחר כל שחקן (אבן נייר או מספריים),"גם הם מטיפוס enumerated type שהוגדר למטרה זו, והוא מקבל את הערכים ROCK, PAPER, SCISSORS",,משנה את גודל התמונה בפקטור המצויין בפרמטר,width *= factor,,
2018-05-23 07:34:29,2018-05-23 08:35:55,IP Address,,100,3685,True,2018-05-23 08:35:55,R_1BOTxGZAPrB2vDs,,,,,,,anonymous,HE,זכר,43,25,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,מחשב את השכר. לא ניתן לבצע את התשלום בפועל כי אין את פרטי העובד.,מספר השעות שהעובד עבד בהן.,שכר שעתי,return hours*rate,,,,,,,,,,,,,,,,,"returns the files in the parameter files ordered by name. if so, sortFilesByName would have been a better name.","list of files, it value is the files to sort",list of files (same files but sorted),מחשב רווח של מכירת מספר יחידות במחיר מסויים ובעלות מסויימת,מספר היחידות שנמכרו,עלות יחידה,מחיר יחידה לצרכן,,,,,הקוד שולח את המעלית מהקומה הנוכחית ליעד,for i in range(n): go_up(1) open_door() close_door(),,,integer,"אינדקס השחקן (0, 1)",לציין מה היד של כל אחד מהשחקנים,"enum rock, paper, scissors",,,,,
2018-05-23 08:54:05,2018-05-23 09:06:42,IP Address,,100,757,True,2018-05-23 09:06:43,R_2ydcUzVXKwyEcOj,,,,,,,anonymous,HE,נקבה,26,1,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,How much to pay for hours,Hours of work,How much to pay for hourt,Cost× rate ,,,,It marks x or o in the given row and column,Indicates row number,Indicates col number,,,,,,,,,,מחשב את הרווח,מספר היחידות,העלות,המחיר,,,,,,,,,,,,,,עושה שינוי של גודל התמונה פי הפקטור הניתן כקלט,picture.setWidth (width),,
2018-05-23 08:54:54,2018-05-23 09:12:03,IP Address,,100,1029,True,2018-05-23 09:12:03,R_vqsDGhgUKVQSJ7b,,,,,,,anonymous,HE,זכר,32,6,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,return hours*rate (roughly),total number of hours,"there is no pay parameter, rate is the base rate per hour","def pay(hours,rate): return hours*rate",plays the next move at specific location,row in the matrix,column in the matrix,,,,,,,,,,,,,,,,,"returns the profit from selling the specific number of units at a specific price.  the cost is ambiguous, since it is not clear if it is unit cost or total cost ",how many units sold,"the cost is ambiguous, since it is not clear if it is unit cost or total cost ",price per unit,,,,, integer / result struct / enum,"0,1,2 / A,B,Draw",to pass the result of each player in the current round,player struct / enum / integer ,,increase/decrease the picture with the specific factor,new_width = width*factor,Unknown,
2018-05-23 09:08:28,2018-05-23 09:19:27,IP Address,,100,658,True,2018-05-23 09:19:28,R_3R3kccOFO1qmIMU,,,,,,,anonymous,HE,זכר,38,19,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,"חושף תא במקום מסויים, וכנראה גם מעדכן את התאים הסמוכים אם יש צורך",,,,,,,,,,,,,,,,,,,,,,,"ממיינת את הקבצים, לא שם מוצלח. עדיף sort",collection של קבצים או שמות קבצים,כלום או סטטוס - הצלחה או מספר קבצים ששינו את מקומם,,,,,,,,,,,,,,,,,"חיבור של הווקטורים או שרשור שלהם, לא ניתן לדעת",משנה גודל של התמונה פי factor שמציין את הגודל החדש ביחד לגודל הקיים,picture.width = newWidth;,,
2018-05-23 09:04:58,2018-05-23 09:25:18,IP Address,,100,1220,True,2018-05-23 09:25:18,R_3frz45iv2r6ewuk,,,,,,,anonymous,HE,זכר,21,4,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,,,,,,,,,,,מעדכנת את הלוח (כולל מבחינה גרפית),מספר השורה של שהמשתמש רוצה לשים בו איקס או עיגול,אותו דבר רק עם עמודה,Changes the files to be order by their name alphabetical,List of the File type,"No return, just change",,,,,,,,,,,,"Checking if the elevator going upwards or downwards, and calls the relevant function with the number of floors to travel",,,,,,,,"[1, 2, 3, 4, 5, 6]",,,,
2018-05-23 09:20:48,2018-05-23 09:30:30,IP Address,,100,582,True,2018-05-23 09:30:31,R_3HwbYY18FbfkQdp,,,,,,,anonymous,HE,זכר,,10,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,"blows up the game if there's a mine in the location, or shows the location and thethose around it",,,,,,,,,,,,,,,,,"move a piece to row, col. but... which piece to move? so maybe it's a function on TTTPiece",tell the machine to which row to move the piece to,tell the machine to which col to move the piece to,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-23 09:19:26,2018-05-23 10:07:07,IP Address,,100,2861,True,2018-05-23 10:07:08,R_1LO20HlsQpSIBRL,,,,,,,anonymous,HE,זכר,33,3,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,Calculates the weekly/monthly paycheck of an employer given his fixed wage value and hours he worked,The amount of hours the employee worked in a given month/week,The fixed wage value for a given employee,"pay(hours, wage):     return (hours*wage)",,,,,,,,,,"For each file in the list of files provided, the program will go over the Name parameter and sort them alphabetically ","A list of files to sort, each file is a class containing it's size and name (File file_arr[])",A sorted array of files File file_arr[],,,,,,,,Calculates the profit from selling a given amount of ice cream given the cost per unit and price per unit,Amount of ice creams sold,Per unit cost of a single ice cream sandwich,Price per unit of ice cream sandwich,,,,,,,,,"[5, 7, 9]",,,Unknown,
2018-05-23 10:18:55,2018-05-23 10:52:59,IP Address,,100,2043,True,2018-05-23 10:52:59,R_3CJmNkhOnlgOWgg,,,,,,,anonymous,HE,זכר,44,10,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,"calculates outcome of click of row,col location",,,,,,,receives the number of hours of work  and the rate per hour  and returns the product which is the sum to pay,number of hours of work ,sum to pay,"def pay (hours, rate): 	return hours * rate",,,,i have no idea . speculation: requesting player input ,location in grid by row ,location in grid by column ,,,,,,,,,,,,,,,,,,"var2=currentFloor, var1=designatedFloor, var3=numOfFloorsToGo the code determines the direction that elevator should take, and initiates the required function, according to current and designated floor data. ","def travel (startFloor, endFloor):   if startFloor &lt; endFloor:      for floor in startFloor+1..endFloor:         go_up(floor)         openDoor         waitForDoor2Close   else        for floor in endFloor-1..startFloor:          go_down(floor)          openDoor          waitForDoor2Close  currentFloor=0 targetFloor=C_topFloor travel (currentFloor, C_topFloor)",,,,,,,,change size of image ,image.width=image.width+delta,,
2018-05-23 09:42:19,2018-05-23 11:10:22,IP Address,,100,5283,True,2018-05-23 11:10:23,R_3pfewpnWn8LJoPs,,,,,,,anonymous,HE,זכר,35,10,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,,,,,,,,update the game_grid with a new turn,location index for the row in regards to where the action happens,location index for the col in regards to where the action happens,,,,,,,To arrange the file names in a lexicographic list,list of Files to arrange using name property,list of File objects,,,,,,,,,,,determine how many floors and in which direction the elevator should move,for floor_index in number_of_floors: go_up(floor_index) open_door() close_door() ,Player,"playerA, playerB",pass the Players data,Players object containing player info and action,Error / raise exception ,,,,
2018-05-23 11:30:04,2018-05-23 11:54:03,IP Address,,100,1439,True,2018-05-23 11:54:04,R_3vH9oeA6ssZldmN,,,,,,,anonymous,HE,נקבה,29,2,כן,תואר שני,3,,,,,,,,,,,,,"writing x or 0 in the given row and col after checking that row and col are the numbers 1, 2 or 3 [if not returns error]",the row number of the new mark location,the column number of the new mark location,,,,,,,ממיינת את הקבצים בסדר עולה לפי השם," האינפוט לפונק' לדעתי הינו איזשהו מערך/ רשימה וכו' שמכילה אובייקטים מסוג קובץ שבו יש שם הקובץ, גודל וכו'",את אותו סוג מבנה נתונים של files רק ממוין לפי שם הקובץ,,,,,,,,,,,,"var2 is the current floor, var1 is the the one the user wants to go to (""new"").  the code checks whether the new one is higher or lower than current floor and go down or up var3 floor respectively ",for (i=0;i=num_floors; i++) { open_door() close_door() go_up(1) {,,,,,,,"[5,7,9]",מגדילה או מקטינה תמונה בהתאם לפקטור שקיבלה,width*= factor,,
2018-05-23 11:36:34,2018-05-23 15:24:47,IP Address,,100,13693,True,2018-05-23 15:24:48,R_1DRUoP7pymQRWhv,,,,,,,anonymous,HE,זכר,53,27,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,No,"reveals the MineInfoMap for that location, and also reveals the adjacant locations, as reuiqred by the rules",מחשב שכר לעובד,שעות עבודה לתקופת השכר הנוכחית,שכר שעה לעובד,return rate * hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,gets the elevator to the floor defined in var1 from the current floor (var2),sort all input destination floor into dest_floors_vec. create diff_vec = dest_floors_vec[i+1] -    dest_floors_vec[i ] for each i handle the special case  of starting  go_up(diff_vec[i]) for each i,,,Integer,"{0,1}",משקפים את הבחירה של המשחק,"LOV שמכיל את 3 אפשריות המשחק (אבן, נייר או מספריים). אם השפה לא עובדת טוב עם LOV, אפשר תמיד להשתמד ב INTEGER.",,,,,
2018-05-23 16:46:09,2018-05-23 16:56:40,IP Address,,100,630,True,2018-05-23 16:56:40,R_Q3WVcQQ6zn0cYwN,,,,,,,anonymous,HE,זכר,22,6,כן,תואר ראשון,4,,,,,,,,,,,,,,,,"מוסיפה את הצורה הנוכחית ב-col, row",להגדיר באיזה שורה להכניס את הצורה,להגדיר את העמודה,,,,,,,,,,,,,,,,,,,,,,,,,,"[5,7,9]",מקטינה/מגדילה את התמונה באורך ורוחב,Width =* factor;,,
2018-05-23 16:47:31,2018-05-23 17:22:27,IP Address,,100,2095,True,2018-05-23 17:22:27,R_1dfVGiRCmuLahxF,,,,,,,anonymous,HE,זכר,27,7,כן,תואר ראשון,4,כן,"return is_bomb[row, col] == -1",,,,,,,calculates hours*rate and pays the employee,number of hours the employee worked,employee's hourly wage value,"pay (hours, rate): return hours*rate",,,,,,,,,,,,,,,,,,,,return units * (price - cost),the number of units bought and sold,amount at which a unit is purchased,amount at which a unit is sold,"checks if the input floor number (var1) is above current floor number (var2) or below it, and orders the elevator to move |var1 - var2| floors in that direction","if current_floor !=0:   go_down(-current_floor) // should work on underground floors too, because -(-num)==num for i in (0, top_floor)   go_up(1)  ",,,,,,,"[5,7,9]",,,Unknown,
2018-05-22 17:28:02,2018-05-22 17:31:24,IP Address,,61,202,False,2018-05-23 17:31:26,R_UgvYn5Ac21c9WQ9,,,,,,,anonymous,HE,זכר,30,5,כן,דוקטורט ומעלה,2,,,,,מחשב את השכר הכולל לפי התעריף ובהנתן השעות שמסופקים,כמות השעות שבוצעו,ערך שעת העבודה,"זה תלוי חוקי עבודה, אבל המימוש הכי פשוט הוא הכפולה שלהם: rate*hours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-21 23:34:26,2018-05-21 23:43:00,IP Address,,59,514,False,2018-05-23 23:43:37,R_20OszaJj1Ck60CA,,,,,,,anonymous,HE,נקבה,24,2,כן,תואר ראשון,4,,,,,,,,,,,,,"gets an index of cell in the bord and put there X or O, depending on which player is plays now.",the index of the row in board.,the index of the column in board.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-22 00:28:15,2018-05-22 00:40:05,IP Address,,81,709,False,2018-05-24 00:40:09,R_3rGly8oyzcMhdSK,,,,,,,anonymous,HE,זכר,25,2,כן,תואר ראשון,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"אומר מה הרווח לפי כמות היחידות, עלות ייצור יחידה ומחיר יחידה ללקוח.",כמות היחידות,עלות ייצור יחידה אחת,מחיר יחידה אחת,,,,,אומר למעלית כמה לעלות או לרדת.,for i from 1 to end: go_up(1) open wait(5sec) close,,,,,,,"[1,2,3,4,5,6] או ערך אם הפונקציה הצליחה או לא.",,,,
2018-05-22 01:03:30,2018-05-22 01:21:55,IP Address,,95,1104,False,2018-05-24 01:22:18,R_2yar9bQLE0C0EQm,,,,,,,anonymous,HE,זכר,26,6,כן,תואר שני,2,כן,מבצע מהלך של לחיצה על תא מסוים,,,,,,,,,,,,,,,,,מבצעת מהלך במיקום הנתון (כלומר מעדכנת את הלוח),מגדיר באיזו שורה המהלך,באיזו עמודה המהלך,,,,,,,,,,,,,,,Go from floor var2 to floor var1,while currentFloor &lt; maxFloor { close_door() go_up(1) open_door() },,,enum,"First, second, tie",הערך שנבחר על ידי השחקן,"Enum: rock, paper, scissors",,מכפילה את האורך והרוחב של האובייקט בפרמטר,width*=factor,,
2018-05-24 02:27:38,2018-05-24 02:42:41,IP Address,,100,903,True,2018-05-24 02:42:42,R_3iEW2pM1cXRLiiD,,,,,,,anonymous,HE,זכר,33,3,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,חושף את משבצת בודדת בלוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calculates expected profit based on ingredients. Price and cost of manufacturing by,Number of units to sell (possibly result of above function),Ingredient  costs,Price per unit ,,,מחליט האם ושולח את המעלית את מספר הקומוץ הנכון,,Char ,A or B,איזה מצב כל אחד משני השחקנים,אבן נייר מספרים,,מקטינה או מגדילה תמונה בפקטור מסוים,Image.setWidth(X),Unknown,
2018-05-23 08:54:27,2018-05-23 09:00:00,IP Address,,69,333,False,2018-05-24 09:00:06,R_3IcOsKPmi0A2m91,,,,,,,anonymous,HE,זכר,38,7,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"מחשב רווח בהתאם לכמות היחידות, העלות של יחידה והמחיר בו היא נמכרת.",מספר יחידות,עלות של יחידה,מחיר שבו נמכרת יחידה,,,,,,,,,,,,,,,,,
2018-05-24 08:31:00,2018-05-24 09:01:50,IP Address,,100,1849,True,2018-05-24 09:01:51,R_3prsD4X1wDoIPJM,,,,,,,anonymous,HE,זכר,26,4,כן,תואר ראשון,4,,,,,,,,,,,,,,,,"get row and colom and put there x or per turn, then display the new game_screen",לדעת באיזו שורה בחר השחקן לסמן,לדעת באיזו עמודה בחר השחקן לסמן,,,,,,,,,,,,,,מחזירה ערך של כמה רווח יצא מיום/חודש עבודה,לדעת כמה קסטות נמכרו ולהכפיל במחיר וכך לדעת הכנסות,לדעת עלויות והוצאות,לדעת מחיר שנמכרו הקסטות,,,"בודק מה הקומה הרצויה ויורד/עולה אליה, ביחס לקומה הנוכחית",קלוט למערך את כל הקומות. מיין את המערך. לכל תא במערך:     עלה לקומה.,int,"0,1,2",להעביר לפונקציה מה בחר שחקן 1 ומה בחר שחקן 2,"string אבן, נייר ומספריים",,,,Unknown,
2018-05-23 10:48:28,2018-05-24 09:03:17,IP Address,,100,80088,True,2018-05-24 09:03:17,R_eQbY1QZklzanPjP,,,,,,,anonymous,HE,זכר,22,5,כן,תואר ראשון,3,,,Yes,"the function called when the player clicks [row,col] square ",מחשב את השכר לפי מספר שעות ושכר שעתי נתונים,מספר השעות,שכר לשעה,return hours*rate,,,,,,,,,,,,,,,,,מיון הקבצים לפי שם,רשימת הקבצים. רשימה.,רשימה ,,,,,,,,,,,מחשב כמה קומות לעלות או לרדת ואז עולה או יורד אותן,for i in range(top_floor+1):  open_door(i),,,,,שגיאת קומפילציה,,,,
2018-05-22 06:45:56,2018-05-22 09:11:17,IP Address,,84,8720,False,2018-05-24 09:12:10,R_1gRBHkggVyVEXSo,,,,,,,anonymous,HE,זכר,28,3,כן,תואר ראשון,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מחליט האם צריך לעלות או לרדת וכמה קומות בהינתן הקומה הנוכחית והקומה הרצוייה,,Int,"0,1,2",לציין מה כל שחקן בחר לשחק,"Enum,מחלקה , int",,,,,
2018-05-23 08:51:58,2018-05-23 09:33:11,IP Address,,93,2472,False,2018-05-24 09:33:36,R_1M4jN9AWraIxBWt,,,,,,,anonymous,HE,זכר,43,25,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,,,,,,,,,,,,,,sorts the files in the 'files' container by alphabetical order,it is an in/out parameter. It is an ordered container (vector / array) of the the file class mentioned in the 1st question.,void,,,,,,,,,,,,"compares the current floor with the destinated floor, and goes up or down accordingly by th delete between them",,,,"one of the passed parameters, which is either ID of a player or the player object or an enum (PLAYER_A / PLAYER_B / TIE)","playerA, playerB, and no win indication (NULL / null-object / invalid id / TIE)",pass directly or indirectly the action of each of the 2 players,either player object or player id,"either [1,2,3,4,5,6] or [5,7,9] depending on whether the object type is a list or a mathematical vector",,,,
2018-05-22 09:20:51,2018-05-22 10:05:49,IP Address,,93,2698,False,2018-05-24 10:05:57,R_3F2T6miSOHrAJoZ,,,,,,,anonymous,HE,זכר,31,9,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,,,,,,,,,,,לעדכןת הלוח במיקום שקיבלה עי השחקן הנוכחי ולהעביר את התור,השורה הנבחרת,העמודה הנבחרת,ממיין את רשימת הקבצים לפי שם,"הקבצים למיון, רשימה של קבצים",רשימה חדשה ממויינת של קבצים,,,,,,,,,,,,,,,,,,,,"[5,7,9]",מגדילה/מגדילה את התמונה בפקטור מסויים,image.set_width(width),,
2018-05-23 10:03:18,2018-05-23 10:10:47,IP Address,,79,449,False,2018-05-24 10:11:02,R_129BUAcua7h3Far,,,,,,,anonymous,HE,זכר,26,10,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,It calculates the pay the employee should get ,To represent the amount of hours an employee worked ,Pay is not a parameter ,"def pay(hours, rate):     return hours*rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-22 10:17:00,2018-05-22 10:34:25,IP Address,,80,1044,False,2018-05-24 10:34:29,R_1liRmTvlhHvtJfm,,,,,,,anonymous,HE,זכר,29,5,כן,תואר שני,2,,,Yes,this is called when the player clicks on a spot - either revealing the square or losing the game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moves the elevator from where it currently is to a given floor,floors &lt;- sort(floors) currentFloor &lt;- 0 for each floor in floors     go_up(floor - currentFloor)     currentFloor &lt;- floor     open_door()     close_door(),,,enum או int,"A,B,תיקו או 0,1,2",הבחירה של כל שחקן (אבן/נייר/מספריים),אבן/נייר/מספריים או 0/1/2,,,,,
2018-05-23 09:38:16,2018-05-23 11:13:03,IP Address,,73,5687,False,2018-05-24 11:13:06,R_6Sejf4FVP4LDaEh,,,,,,,anonymous,HE,נקבה,26,7,כן,תואר ראשון,3,,,,,,,,,,,,,,,,,,,,,,sort a list of files by alphabetic order,"the list of files to sort, type is linked list or array",nothing or success / failure indicator,,,,,,,,,,,,,,בוחר אם לאיזה כיוון לנוע ונע בו,for b in buttons:     if b.is_pushed()          go_to(b)          b.unset_push()          open_door()         while not door_can_be_closed() {}         close_door(),,,,,,,,,
2018-05-22 11:36:28,2018-05-22 11:42:31,IP Address,,60,363,False,2018-05-24 11:42:42,R_2PtUDl3Q0ShY3qs,,,,,,,anonymous,HE,זכר,31,6,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,,,,,Move current position to row and col ,Index indicates the rows in matrix. This is the j in Arr[I][j] ,Index indicates the cols in matrix. This is the i in Arr[I][j] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-22 12:04:31,2018-05-22 12:11:32,IP Address,,77,420,False,2018-05-24 12:12:07,R_1r0KD33SG1nvSM0,,,,,,,anonymous,HE,זכר,34,8,כן,דוקטורט ומעלה,6,,,,,,,,,,,,,,,,updates the state by marking the player's symbol in the chosen cell,indicates row of the chosen cell,indicates column of the chosen cell,,,,,,,,,,,,,,,,,,,,,,,,,,"[5,7,9]",משנה גודל של מערך רב מימדי לשלמים הקרובים ביותר לפקטור כפול הגודל המקורי ומותחת את המידע לגודל החדש,im.width = round(factor*im.width),,
2018-05-22 13:12:49,2018-05-22 13:21:38,IP Address,,57,529,False,2018-05-24 13:21:56,R_3yBUHsWX2GJwKcN,,,,,,,anonymous,HE,נקבה,25,2,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,,,,,,,,,,,,,,"for an unordered list of files, returns an ordered by name list of files.",list of File objects ,"an ordered list of files, by their names",,,,,,,,,,,,,,,,,,,,,,,,
2018-05-23 13:17:44,2018-05-23 13:32:10,IP Address,,93,865,False,2018-05-24 13:32:12,R_Q6bGWYOLahho1ln,,,,,,,anonymous,HE,זכר,29,2,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,,,,,Adds a player's choice to the board,The index of the row in the board,The index of the column in the board,,,,,,,Returns a list of files sorted by name,List of file datatype,As mentioned above,,,,,,,,,,,,,,,,Player,הייתי מחזיר את האובייקט של השחקן שניצח,להכיל את המידע על השחקנים,,"[1,2,3,4,5,6]",משנה את גודל התמונה פי factor,object.width = object.width*factor,,
2018-05-23 14:22:10,2018-05-23 14:24:34,IP Address,,68,143,False,2018-05-24 14:24:59,R_3qee25EJxzlq3wU,,,,,,,anonymous,HE,נקבה,22,2,כן,תואר ראשון,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
2018-05-23 09:03:05,2018-05-23 15:52:45,IP Address,,94,24579,False,2018-05-24 15:53:16,R_3qEZ5qyuUhincQ6,,,,,,,anonymous,HE,נקבה,32,8,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,חושף את כל המוקשים בשורה וטור מסויימים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5,7,9] או [1,2,3,4,5,6]",משנה גודל של תמונה בהתאם לפרמטר שהיא מקבלת,width = width * factor,,
2018-05-23 15:09:21,2018-05-23 15:56:18,IP Address,,82,2816,False,2018-05-24 15:56:36,R_Xufb26xXeRfKut3,,,,,,,anonymous,HE,זכר,27,4,כן,תואר ראשון,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"returns the profit from selling a number of units where each units costs ""cost"" by selling with value ""price""",The amount of units sold,The cost to make each unit,The price each unit was sold at,,,designed to move the elevator var3 segments up or down,for each floor in floors open_door if not in last floor:  go_up(1)  ,,,,,"[5,7,9]",,,Unknown,
2018-05-23 15:58:54,2018-05-23 16:25:37,IP Address,,77,1603,False,2018-05-24 16:25:48,R_OvtH5HAGdAJNv7H,,,,,,,anonymous,HE,זכר,50,29,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,Yes,check if the cell contain mine or noand process request accordinly,,,,,,,,,,,,initialyze the cell for input,specify the row index of the next input,same answer as for row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-23 17:56:47,2018-05-23 18:04:06,IP Address,,71,439,False,2018-05-24 18:04:41,R_bkJUe9nhSrsvFdL,,,,,,,anonymous,HE,זכר,27,4,כן,תואר שני,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,int,2,לייצג את בחירת השחקנים במשחק,"Int -0,1,2","[1,2,3,4,5,6]",מותחת את התמונה בפקטור הנתון,this.width *= factor,,
2018-05-23 18:46:31,2018-05-23 19:04:04,IP Address,,95,1052,False,2018-05-24 19:04:25,R_1pDsYpd1T3whe7L,,,,,,,anonymous,HE,זכר,44,15,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,מגלה מה יש בתא בקואורדינטות. ,,,,,,,,,,,Sets an x or o in the specified location ,Defines placement row ,Defines placement column,,,,,,,Returns a list of files sorted alphanumerically ,A list or array of the files to be sorted ,A sorted list or array ,,,,,,,,,,,,,,מקבל את הקומה הרצויה ומפעיל פקודת עליה או ירידה במספר הקומות המתאים,"For I=0,I&lt;topfloor,I++ { CloseDoor GoUp(1) Opendoor",,,,,,משנה את גודל התמונה בפיקסלים כפול הפקטור שניתן,Width*=factor,,
2018-05-23 19:29:50,2018-05-23 19:33:33,IP Address,,95,223,False,2018-05-24 19:33:43,R_1kLBTtt7vYhw2eZ,,,,,,,anonymous,HE,זכר,36,12,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,,,,,Pay based on ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
